Year,ZIP_CODE,Strata_Name,Count,Annotation_Code,Annotation_Desc
2011,90001,Total Population,246.0,,
2014,90001,Total Population,252.0,,
2016,90001,Total Population,258.0,,
2017,90001,Total Population,296.0,,
2018,90001,Total Population,265.0,,
2013,90001,Total Population,220.0,,
2019,90001,Total Population,275.0,,
2020,90001,Total Population,407.0,,
2012,90001,Total Population,265.0,,
2021,90001,Total Population,432.0,,
2022,90001,Total Population,350.0,,
2015,90001,Total Population,251.0,,
2013,90002,Total Population,248.0,,
2020,90002,Total Population,438.0,,
2018,90002,Total Population,267.0,,
2017,90002,Total Population,249.0,,
2019,90002,Total Population,252.0,,
2012,90002,Total Population,285.0,,
2015,90002,Total Population,267.0,,
2016,90002,Total Population,278.0,,
2022,90002,Total Population,366.0,,
2011,90002,Total Population,233.0,,
2014,90002,Total Population,230.0,,
2021,90002,Total Population,419.0,,
2011,90003,Total Population,325.0,,
2017,90003,Total Population,404.0,,
2018,90003,Total Population,372.0,,
2013,90003,Total Population,307.0,,
2016,90003,Total Population,360.0,,
2015,90003,Total Population,359.0,,
2019,90003,Total Population,375.0,,
2022,90003,Total Population,468.0,,
2020,90003,Total Population,541.0,,
2021,90003,Total Population,548.0,,
2012,90003,Total Population,313.0,,
2014,90003,Total Population,332.0,,
2022,90004,Total Population,330.0,,
2021,90004,Total Population,375.0,,
2016,90004,Total Population,290.0,,
2011,90004,Total Population,229.0,,
2020,90004,Total Population,395.0,,
2017,90004,Total Population,279.0,,
2015,90004,Total Population,273.0,,
2018,90004,Total Population,292.0,,
2013,90004,Total Population,254.0,,
2012,90004,Total Population,226.0,,
2014,90004,Total Population,235.0,,
2019,90004,Total Population,285.0,,
2016,90005,Total Population,171.0,,
2022,90005,Total Population,243.0,,
2020,90005,Total Population,254.0,,
2011,90005,Total Population,165.0,,
2021,90005,Total Population,256.0,,
2018,90005,Total Population,187.0,,
2012,90005,Total Population,151.0,,
2014,90005,Total Population,152.0,,
2013,90005,Total Population,186.0,,
2019,90005,Total Population,195.0,,
2017,90005,Total Population,175.0,,
2015,90005,Total Population,183.0,,
2017,90006,Total Population,305.0,,
2020,90006,Total Population,492.0,,
2022,90006,Total Population,350.0,,
2019,90006,Total Population,295.0,,
2011,90006,Total Population,238.0,,
2015,90006,Total Population,278.0,,
2012,90006,Total Population,259.0,,
2016,90006,Total Population,289.0,,
2021,90006,Total Population,426.0,,
2018,90006,Total Population,267.0,,
2014,90006,Total Population,238.0,,
2013,90006,Total Population,267.0,,
2016,90007,Total Population,137.0,,
2019,90007,Total Population,135.0,,
2015,90007,Total Population,144.0,,
2022,90007,Total Population,166.0,,
2017,90007,Total Population,143.0,,
2018,90007,Total Population,156.0,,
2021,90007,Total Population,193.0,,
2012,90007,Total Population,110.0,,
2020,90007,Total Population,192.0,,
2011,90007,Total Population,139.0,,
2013,90007,Total Population,123.0,,
2014,90007,Total Population,126.0,,
2012,90008,Total Population,315.0,,
2020,90008,Total Population,385.0,,
2022,90008,Total Population,409.0,,
2017,90008,Total Population,344.0,,
2021,90008,Total Population,426.0,,
2019,90008,Total Population,318.0,,
2014,90008,Total Population,316.0,,
2018,90008,Total Population,355.0,,
2015,90008,Total Population,335.0,,
2011,90008,Total Population,319.0,,
2016,90008,Total Population,314.0,,
2013,90008,Total Population,317.0,,
2015,90009,Total Population,,1.0,Cell suppressed for small numbers
2012,90009,Total Population,,1.0,Cell suppressed for small numbers
2011,90009,Total Population,,1.0,Cell suppressed for small numbers
2014,90009,Total Population,0.0,,
2019,90009,Total Population,,1.0,Cell suppressed for small numbers
2021,90009,Total Population,,1.0,Cell suppressed for small numbers
2018,90009,Total Population,0.0,,
2013,90009,Total Population,,1.0,Cell suppressed for small numbers
2017,90009,Total Population,,1.0,Cell suppressed for small numbers
2016,90009,Total Population,0.0,,
2022,90009,Total Population,,1.0,Cell suppressed for small numbers
2020,90009,Total Population,0.0,,
2013,90010,Total Population,16.0,,
2012,90010,Total Population,15.0,,
2018,90010,Total Population,28.0,,
2019,90010,Total Population,26.0,,
2011,90010,Total Population,15.0,,
2017,90010,Total Population,20.0,,
2020,90010,Total Population,25.0,,
2021,90010,Total Population,31.0,,
2016,90010,Total Population,22.0,,
2022,90010,Total Population,19.0,,
2015,90010,Total Population,23.0,,
2014,90010,Total Population,21.0,,
2021,90011,Total Population,671.0,,
2015,90011,Total Population,397.0,,
2018,90011,Total Population,399.0,,
2022,90011,Total Population,535.0,,
2017,90011,Total Population,441.0,,
2016,90011,Total Population,437.0,,
2011,90011,Total Population,361.0,,
2012,90011,Total Population,344.0,,
2014,90011,Total Population,351.0,,
2020,90011,Total Population,677.0,,
2013,90011,Total Population,360.0,,
2019,90011,Total Population,407.0,,
2018,90012,Total Population,224.0,,
2016,90012,Total Population,179.0,,
2012,90012,Total Population,196.0,,
2013,90012,Total Population,204.0,,
2019,90012,Total Population,197.0,,
2021,90012,Total Population,288.0,,
2020,90012,Total Population,279.0,,
2014,90012,Total Population,196.0,,
2011,90012,Total Population,167.0,,
2017,90012,Total Population,216.0,,
2022,90012,Total Population,242.0,,
2015,90012,Total Population,217.0,,
2013,90013,Total Population,93.0,,
2020,90013,Total Population,204.0,,
2012,90013,Total Population,89.0,,
2016,90013,Total Population,129.0,,
2018,90013,Total Population,161.0,,
2019,90013,Total Population,145.0,,
2014,90013,Total Population,109.0,,
2015,90013,Total Population,144.0,,
2011,90013,Total Population,100.0,,
2022,90013,Total Population,222.0,,
2017,90013,Total Population,138.0,,
2021,90013,Total Population,193.0,,
2022,90014,Total Population,121.0,,
2020,90014,Total Population,127.0,,
2016,90014,Total Population,81.0,,
2013,90014,Total Population,76.0,,
2015,90014,Total Population,83.0,,
2017,90014,Total Population,83.0,,
2018,90014,Total Population,84.0,,
2021,90014,Total Population,133.0,,
2012,90014,Total Population,78.0,,
2011,90014,Total Population,85.0,,
2014,90014,Total Population,86.0,,
2019,90014,Total Population,99.0,,
2022,90015,Total Population,135.0,,
2020,90015,Total Population,142.0,,
2019,90015,Total Population,94.0,,
2013,90015,Total Population,74.0,,
2016,90015,Total Population,84.0,,
2015,90015,Total Population,96.0,,
2017,90015,Total Population,82.0,,
2011,90015,Total Population,73.0,,
2012,90015,Total Population,69.0,,
2014,90015,Total Population,79.0,,
2021,90015,Total Population,126.0,,
2018,90015,Total Population,83.0,,
2011,90016,Total Population,309.0,,
2014,90016,Total Population,346.0,,
2013,90016,Total Population,348.0,,
2019,90016,Total Population,323.0,,
2020,90016,Total Population,378.0,,
2012,90016,Total Population,317.0,,
2017,90016,Total Population,353.0,,
2015,90016,Total Population,375.0,,
2016,90016,Total Population,310.0,,
2018,90016,Total Population,360.0,,
2022,90016,Total Population,389.0,,
2021,90016,Total Population,437.0,,
2020,90017,Total Population,202.0,,
2013,90017,Total Population,84.0,,
2019,90017,Total Population,110.0,,
2016,90017,Total Population,131.0,,
2014,90017,Total Population,91.0,,
2021,90017,Total Population,186.0,,
2012,90017,Total Population,91.0,,
2017,90017,Total Population,119.0,,
2018,90017,Total Population,107.0,,
2022,90017,Total Population,174.0,,
2015,90017,Total Population,96.0,,
2011,90017,Total Population,79.0,,
2015,90018,Total Population,326.0,,
2013,90018,Total Population,368.0,,
2016,90018,Total Population,380.0,,
2014,90018,Total Population,361.0,,
2011,90018,Total Population,364.0,,
2020,90018,Total Population,453.0,,
2022,90018,Total Population,424.0,,
2012,90018,Total Population,379.0,,
2021,90018,Total Population,495.0,,
2018,90018,Total Population,405.0,,
2019,90018,Total Population,346.0,,
2017,90018,Total Population,345.0,,
2017,90019,Total Population,389.0,,
2022,90019,Total Population,455.0,,
2020,90019,Total Population,511.0,,
2014,90019,Total Population,378.0,,
2013,90019,Total Population,396.0,,
2016,90019,Total Population,425.0,,
2015,90019,Total Population,423.0,,
2012,90019,Total Population,401.0,,
2021,90019,Total Population,523.0,,
2019,90019,Total Population,394.0,,
2011,90019,Total Population,385.0,,
2018,90019,Total Population,430.0,,
2014,90020,Total Population,123.0,,
2016,90020,Total Population,136.0,,
2019,90020,Total Population,151.0,,
2022,90020,Total Population,191.0,,
2018,90020,Total Population,156.0,,
2015,90020,Total Population,159.0,,
2021,90020,Total Population,179.0,,
2013,90020,Total Population,113.0,,
2012,90020,Total Population,133.0,,
2011,90020,Total Population,137.0,,
2020,90020,Total Population,197.0,,
2017,90020,Total Population,138.0,,
2019,90021,Total Population,32.0,,
2022,90021,Total Population,42.0,,
2021,90021,Total Population,47.0,,
2012,90021,Total Population,17.0,,
2020,90021,Total Population,50.0,,
2016,90021,Total Population,28.0,,
2014,90021,Total Population,20.0,,
2011,90021,Total Population,21.0,,
2013,90021,Total Population,29.0,,
2015,90021,Total Population,22.0,,
2018,90021,Total Population,33.0,,
2017,90021,Total Population,31.0,,
2020,90022,Total Population,523.0,,
2012,90022,Total Population,312.0,,
2015,90022,Total Population,337.0,,
2021,90022,Total Population,532.0,,
2022,90022,Total Population,429.0,,
2011,90022,Total Population,361.0,,
2019,90022,Total Population,377.0,,
2017,90022,Total Population,371.0,,
2013,90022,Total Population,365.0,,
2016,90022,Total Population,345.0,,
2014,90022,Total Population,317.0,,
2018,90022,Total Population,441.0,,
2013,90023,Total Population,231.0,,
2015,90023,Total Population,237.0,,
2016,90023,Total Population,235.0,,
2021,90023,Total Population,347.0,,
2022,90023,Total Population,280.0,,
2011,90023,Total Population,194.0,,
2020,90023,Total Population,372.0,,
2019,90023,Total Population,240.0,,
2017,90023,Total Population,244.0,,
2014,90023,Total Population,217.0,,
2012,90023,Total Population,227.0,,
2018,90023,Total Population,243.0,,
2022,90024,Total Population,271.0,,
2020,90024,Total Population,261.0,,
2017,90024,Total Population,238.0,,
2013,90024,Total Population,254.0,,
2012,90024,Total Population,238.0,,
2019,90024,Total Population,191.0,,
2016,90024,Total Population,254.0,,
2021,90024,Total Population,269.0,,
2015,90024,Total Population,267.0,,
2014,90024,Total Population,233.0,,
2018,90024,Total Population,233.0,,
2011,90024,Total Population,233.0,,
2021,90025,Total Population,279.0,,
2012,90025,Total Population,209.0,,
2018,90025,Total Population,211.0,,
2017,90025,Total Population,188.0,,
2020,90025,Total Population,213.0,,
2015,90025,Total Population,223.0,,
2019,90025,Total Population,220.0,,
2011,90025,Total Population,248.0,,
2014,90025,Total Population,206.0,,
2013,90025,Total Population,237.0,,
2016,90025,Total Population,226.0,,
2022,90025,Total Population,229.0,,
2019,90026,Total Population,288.0,,
2017,90026,Total Population,317.0,,
2011,90026,Total Population,305.0,,
2014,90026,Total Population,276.0,,
2021,90026,Total Population,420.0,,
2015,90026,Total Population,280.0,,
2016,90026,Total Population,332.0,,
2020,90026,Total Population,492.0,,
2013,90026,Total Population,331.0,,
2018,90026,Total Population,307.0,,
2012,90026,Total Population,332.0,,
2022,90026,Total Population,384.0,,
2015,90027,Total Population,293.0,,
2014,90027,Total Population,323.0,,
2022,90027,Total Population,353.0,,
2019,90027,Total Population,311.0,,
2017,90027,Total Population,284.0,,
2018,90027,Total Population,320.0,,
2011,90027,Total Population,307.0,,
2021,90027,Total Population,394.0,,
2020,90027,Total Population,401.0,,
2013,90027,Total Population,324.0,,
2016,90027,Total Population,300.0,,
2012,90027,Total Population,353.0,,
2016,90028,Total Population,189.0,,
2017,90028,Total Population,190.0,,
2018,90028,Total Population,168.0,,
2022,90028,Total Population,229.0,,
2021,90028,Total Population,197.0,,
2014,90028,Total Population,178.0,,
2012,90028,Total Population,175.0,,
2015,90028,Total Population,188.0,,
2019,90028,Total Population,195.0,,
2011,90028,Total Population,187.0,,
2020,90028,Total Population,204.0,,
2013,90028,Total Population,172.0,,
2014,90029,Total Population,238.0,,
2018,90029,Total Population,255.0,,
2017,90029,Total Population,240.0,,
2021,90029,Total Population,369.0,,
2012,90029,Total Population,241.0,,
2020,90029,Total Population,336.0,,
2015,90029,Total Population,256.0,,
2016,90029,Total Population,278.0,,
2011,90029,Total Population,233.0,,
2022,90029,Total Population,292.0,,
2019,90029,Total Population,246.0,,
2013,90029,Total Population,254.0,,
2011,90030,Total Population,0.0,,
2016,90030,Total Population,,1.0,Cell suppressed for small numbers
2013,90030,Total Population,0.0,,
2014,90030,Total Population,0.0,,
2021,90030,Total Population,0.0,,
2022,90030,Total Population,0.0,,
2020,90030,Total Population,,1.0,Cell suppressed for small numbers
2019,90030,Total Population,,1.0,Cell suppressed for small numbers
2017,90030,Total Population,,1.0,Cell suppressed for small numbers
2015,90030,Total Population,,1.0,Cell suppressed for small numbers
2012,90030,Total Population,,1.0,Cell suppressed for small numbers
2018,90030,Total Population,,1.0,Cell suppressed for small numbers
2015,90031,Total Population,239.0,,
2018,90031,Total Population,219.0,,
2020,90031,Total Population,342.0,,
2021,90031,Total Population,312.0,,
2013,90031,Total Population,244.0,,
2016,90031,Total Population,227.0,,
2022,90031,Total Population,281.0,,
2011,90031,Total Population,254.0,,
2014,90031,Total Population,225.0,,
2019,90031,Total Population,243.0,,
2012,90031,Total Population,243.0,,
2017,90031,Total Population,236.0,,
2013,90032,Total Population,289.0,,
2014,90032,Total Population,240.0,,
2011,90032,Total Population,255.0,,
2016,90032,Total Population,294.0,,
2019,90032,Total Population,276.0,,
2018,90032,Total Population,293.0,,
2012,90032,Total Population,251.0,,
2020,90032,Total Population,360.0,,
2022,90032,Total Population,318.0,,
2021,90032,Total Population,371.0,,
2017,90032,Total Population,256.0,,
2015,90032,Total Population,287.0,,
2017,90033,Total Population,304.0,,
2022,90033,Total Population,361.0,,
2013,90033,Total Population,297.0,,
2011,90033,Total Population,243.0,,
2016,90033,Total Population,269.0,,
2014,90033,Total Population,273.0,,
2019,90033,Total Population,291.0,,
2021,90033,Total Population,413.0,,
2018,90033,Total Population,285.0,,
2012,90033,Total Population,261.0,,
2015,90033,Total Population,290.0,,
2020,90033,Total Population,390.0,,
2015,90034,Total Population,239.0,,
2022,90034,Total Population,253.0,,
2013,90034,Total Population,233.0,,
2017,90034,Total Population,222.0,,
2019,90034,Total Population,239.0,,
2020,90034,Total Population,312.0,,
2014,90034,Total Population,253.0,,
2016,90034,Total Population,266.0,,
2011,90034,Total Population,238.0,,
2021,90034,Total Population,258.0,,
2012,90034,Total Population,258.0,,
2018,90034,Total Population,246.0,,
2016,90035,Total Population,205.0,,
2012,90035,Total Population,204.0,,
2022,90035,Total Population,244.0,,
2013,90035,Total Population,215.0,,
2015,90035,Total Population,211.0,,
2020,90035,Total Population,253.0,,
2017,90035,Total Population,181.0,,
2011,90035,Total Population,215.0,,
2019,90035,Total Population,196.0,,
2021,90035,Total Population,209.0,,
2018,90035,Total Population,230.0,,
2014,90035,Total Population,231.0,,
2014,90036,Total Population,202.0,,
2013,90036,Total Population,194.0,,
2019,90036,Total Population,209.0,,
2015,90036,Total Population,233.0,,
2022,90036,Total Population,196.0,,
2017,90036,Total Population,177.0,,
2021,90036,Total Population,205.0,,
2012,90036,Total Population,199.0,,
2018,90036,Total Population,202.0,,
2016,90036,Total Population,211.0,,
2020,90036,Total Population,222.0,,
2011,90036,Total Population,210.0,,
2013,90037,Total Population,290.0,,
2021,90037,Total Population,494.0,,
2019,90037,Total Population,360.0,,
2018,90037,Total Population,368.0,,
2012,90037,Total Population,284.0,,
2022,90037,Total Population,459.0,,
2014,90037,Total Population,301.0,,
2016,90037,Total Population,344.0,,
2017,90037,Total Population,348.0,,
2015,90037,Total Population,300.0,,
2011,90037,Total Population,300.0,,
2020,90037,Total Population,527.0,,
2022,90038,Total Population,152.0,,
2012,90038,Total Population,111.0,,
2011,90038,Total Population,124.0,,
2018,90038,Total Population,105.0,,
2014,90038,Total Population,116.0,,
2015,90038,Total Population,125.0,,
2013,90038,Total Population,120.0,,
2020,90038,Total Population,150.0,,
2016,90038,Total Population,108.0,,
2017,90038,Total Population,126.0,,
2019,90038,Total Population,124.0,,
2021,90038,Total Population,162.0,,
2020,90039,Total Population,257.0,,
2017,90039,Total Population,186.0,,
2012,90039,Total Population,181.0,,
2015,90039,Total Population,163.0,,
2014,90039,Total Population,201.0,,
2016,90039,Total Population,196.0,,
2022,90039,Total Population,187.0,,
2013,90039,Total Population,198.0,,
2021,90039,Total Population,205.0,,
2018,90039,Total Population,194.0,,
2019,90039,Total Population,189.0,,
2011,90039,Total Population,148.0,,
2020,90040,Total Population,118.0,,
2016,90040,Total Population,87.0,,
2015,90040,Total Population,73.0,,
2021,90040,Total Population,117.0,,
2012,90040,Total Population,91.0,,
2017,90040,Total Population,84.0,,
2013,90040,Total Population,91.0,,
2022,90040,Total Population,97.0,,
2011,90040,Total Population,75.0,,
2014,90040,Total Population,51.0,,
2018,90040,Total Population,96.0,,
2019,90040,Total Population,88.0,,
2012,90041,Total Population,180.0,,
2016,90041,Total Population,198.0,,
2015,90041,Total Population,186.0,,
2020,90041,Total Population,254.0,,
2021,90041,Total Population,246.0,,
2014,90041,Total Population,213.0,,
2017,90041,Total Population,206.0,,
2018,90041,Total Population,194.0,,
2013,90041,Total Population,202.0,,
2011,90041,Total Population,202.0,,
2022,90041,Total Population,251.0,,
2019,90041,Total Population,192.0,,
2014,90042,Total Population,279.0,,
2015,90042,Total Population,288.0,,
2011,90042,Total Population,308.0,,
2021,90042,Total Population,409.0,,
2018,90042,Total Population,302.0,,
2012,90042,Total Population,265.0,,
2020,90042,Total Population,377.0,,
2017,90042,Total Population,310.0,,
2019,90042,Total Population,282.0,,
2022,90042,Total Population,337.0,,
2016,90042,Total Population,295.0,,
2013,90042,Total Population,260.0,,
2018,90043,Total Population,442.0,,
2015,90043,Total Population,445.0,,
2016,90043,Total Population,447.0,,
2013,90043,Total Population,415.0,,
2020,90043,Total Population,552.0,,
2011,90043,Total Population,430.0,,
2022,90043,Total Population,564.0,,
2014,90043,Total Population,397.0,,
2012,90043,Total Population,396.0,,
2019,90043,Total Population,494.0,,
2021,90043,Total Population,561.0,,
2017,90043,Total Population,421.0,,
2022,90044,Total Population,774.0,,
2019,90044,Total Population,622.0,,
2013,90044,Total Population,547.0,,
2017,90044,Total Population,596.0,,
2021,90044,Total Population,903.0,,
2018,90044,Total Population,611.0,,
2011,90044,Total Population,520.0,,
2012,90044,Total Population,491.0,,
2014,90044,Total Population,538.0,,
2016,90044,Total Population,559.0,,
2020,90044,Total Population,837.0,,
2015,90044,Total Population,534.0,,
2014,90045,Total Population,217.0,,
2019,90045,Total Population,234.0,,
2022,90045,Total Population,257.0,,
2020,90045,Total Population,282.0,,
2013,90045,Total Population,215.0,,
2018,90045,Total Population,209.0,,
2017,90045,Total Population,208.0,,
2015,90045,Total Population,232.0,,
2016,90045,Total Population,229.0,,
2012,90045,Total Population,243.0,,
2011,90045,Total Population,229.0,,
2021,90045,Total Population,260.0,,
2020,90046,Total Population,355.0,,
2011,90046,Total Population,366.0,,
2014,90046,Total Population,338.0,,
2017,90046,Total Population,352.0,,
2013,90046,Total Population,346.0,,
2016,90046,Total Population,353.0,,
2019,90046,Total Population,349.0,,
2021,90046,Total Population,401.0,,
2018,90046,Total Population,335.0,,
2015,90046,Total Population,319.0,,
2022,90046,Total Population,362.0,,
2012,90046,Total Population,385.0,,
2013,90047,Total Population,423.0,,
2015,90047,Total Population,486.0,,
2019,90047,Total Population,480.0,,
2021,90047,Total Population,646.0,,
2011,90047,Total Population,417.0,,
2022,90047,Total Population,589.0,,
2020,90047,Total Population,587.0,,
2016,90047,Total Population,509.0,,
2017,90047,Total Population,506.0,,
2014,90047,Total Population,427.0,,
2012,90047,Total Population,426.0,,
2018,90047,Total Population,482.0,,
2016,90048,Total Population,175.0,,
2021,90048,Total Population,193.0,,
2022,90048,Total Population,160.0,,
2018,90048,Total Population,177.0,,
2014,90048,Total Population,189.0,,
2013,90048,Total Population,185.0,,
2012,90048,Total Population,215.0,,
2015,90048,Total Population,187.0,,
2019,90048,Total Population,179.0,,
2017,90048,Total Population,193.0,,
2020,90048,Total Population,201.0,,
2011,90048,Total Population,192.0,,
2013,90049,Total Population,267.0,,
2014,90049,Total Population,264.0,,
2020,90049,Total Population,300.0,,
2011,90049,Total Population,232.0,,
2017,90049,Total Population,272.0,,
2015,90049,Total Population,253.0,,
2019,90049,Total Population,269.0,,
2012,90049,Total Population,242.0,,
2018,90049,Total Population,280.0,,
2021,90049,Total Population,309.0,,
2016,90049,Total Population,261.0,,
2022,90049,Total Population,274.0,,
2020,90050,Total Population,,1.0,Cell suppressed for small numbers
2015,90050,Total Population,0.0,,
2019,90050,Total Population,0.0,,
2012,90050,Total Population,0.0,,
2018,90050,Total Population,,1.0,Cell suppressed for small numbers
2021,90050,Total Population,,1.0,Cell suppressed for small numbers
2013,90050,Total Population,,1.0,Cell suppressed for small numbers
2014,90050,Total Population,,1.0,Cell suppressed for small numbers
2011,90050,Total Population,0.0,,
2022,90050,Total Population,,1.0,Cell suppressed for small numbers
2016,90050,Total Population,0.0,,
2017,90050,Total Population,,1.0,Cell suppressed for small numbers
2019,90051,Total Population,,1.0,Cell suppressed for small numbers
2013,90051,Total Population,,1.0,Cell suppressed for small numbers
2018,90051,Total Population,,1.0,Cell suppressed for small numbers
2022,90051,Total Population,,1.0,Cell suppressed for small numbers
2016,90051,Total Population,0.0,,
2012,90051,Total Population,,1.0,Cell suppressed for small numbers
2017,90051,Total Population,,1.0,Cell suppressed for small numbers
2020,90051,Total Population,,1.0,Cell suppressed for small numbers
2015,90051,Total Population,,1.0,Cell suppressed for small numbers
2011,90051,Total Population,0.0,,
2014,90051,Total Population,0.0,,
2021,90051,Total Population,0.0,,
2014,90052,Total Population,0.0,,
2017,90052,Total Population,0.0,,
2022,90052,Total Population,,1.0,Cell suppressed for small numbers
2015,90052,Total Population,,1.0,Cell suppressed for small numbers
2013,90052,Total Population,0.0,,
2018,90052,Total Population,,1.0,Cell suppressed for small numbers
2021,90052,Total Population,,1.0,Cell suppressed for small numbers
2019,90052,Total Population,,1.0,Cell suppressed for small numbers
2016,90052,Total Population,,1.0,Cell suppressed for small numbers
2012,90052,Total Population,0.0,,
2020,90052,Total Population,,1.0,Cell suppressed for small numbers
2011,90052,Total Population,0.0,,
2016,90053,Total Population,,1.0,Cell suppressed for small numbers
2012,90053,Total Population,0.0,,
2020,90053,Total Population,0.0,,
2019,90053,Total Population,,1.0,Cell suppressed for small numbers
2011,90053,Total Population,0.0,,
2018,90053,Total Population,,1.0,Cell suppressed for small numbers
2015,90053,Total Population,,1.0,Cell suppressed for small numbers
2014,90053,Total Population,,1.0,Cell suppressed for small numbers
2017,90053,Total Population,0.0,,
2013,90053,Total Population,,1.0,Cell suppressed for small numbers
2021,90053,Total Population,0.0,,
2022,90053,Total Population,0.0,,
2017,90054,Total Population,,1.0,Cell suppressed for small numbers
2019,90054,Total Population,,1.0,Cell suppressed for small numbers
2011,90054,Total Population,,1.0,Cell suppressed for small numbers
2013,90054,Total Population,,1.0,Cell suppressed for small numbers
2020,90054,Total Population,,1.0,Cell suppressed for small numbers
2018,90054,Total Population,,1.0,Cell suppressed for small numbers
2022,90054,Total Population,0.0,,
2014,90054,Total Population,0.0,,
2012,90054,Total Population,0.0,,
2015,90054,Total Population,0.0,,
2021,90054,Total Population,,1.0,Cell suppressed for small numbers
2016,90054,Total Population,,1.0,Cell suppressed for small numbers
2014,90055,Total Population,0.0,,
2021,90055,Total Population,,1.0,Cell suppressed for small numbers
2017,90055,Total Population,,1.0,Cell suppressed for small numbers
2012,90055,Total Population,0.0,,
2022,90055,Total Population,0.0,,
2020,90055,Total Population,0.0,,
2011,90055,Total Population,,1.0,Cell suppressed for small numbers
2016,90055,Total Population,0.0,,
2015,90055,Total Population,0.0,,
2013,90055,Total Population,,1.0,Cell suppressed for small numbers
2018,90055,Total Population,,1.0,Cell suppressed for small numbers
2019,90055,Total Population,,1.0,Cell suppressed for small numbers
2017,90056,Total Population,93.0,,
2013,90056,Total Population,82.0,,
2019,90056,Total Population,91.0,,
2011,90056,Total Population,76.0,,
2020,90056,Total Population,129.0,,
2022,90056,Total Population,106.0,,
2015,90056,Total Population,102.0,,
2018,90056,Total Population,86.0,,
2012,90056,Total Population,97.0,,
2014,90056,Total Population,70.0,,
2021,90056,Total Population,117.0,,
2016,90056,Total Population,78.0,,
2015,90057,Total Population,255.0,,
2011,90057,Total Population,269.0,,
2021,90057,Total Population,376.0,,
2017,90057,Total Population,282.0,,
2020,90057,Total Population,443.0,,
2019,90057,Total Population,272.0,,
2022,90057,Total Population,388.0,,
2018,90057,Total Population,292.0,,
2016,90057,Total Population,271.0,,
2012,90057,Total Population,233.0,,
2013,90057,Total Population,227.0,,
2014,90057,Total Population,259.0,,
2019,90058,Total Population,16.0,,
2016,90058,Total Population,,1.0,Cell suppressed for small numbers
2020,90058,Total Population,28.0,,
2013,90058,Total Population,19.0,,
2018,90058,Total Population,17.0,,
2011,90058,Total Population,13.0,,
2014,90058,Total Population,20.0,,
2022,90058,Total Population,28.0,,
2015,90058,Total Population,20.0,,
2021,90058,Total Population,22.0,,
2012,90058,Total Population,19.0,,
2017,90058,Total Population,15.0,,
2014,90059,Total Population,213.0,,
2016,90059,Total Population,248.0,,
2015,90059,Total Population,247.0,,
2013,90059,Total Population,201.0,,
2012,90059,Total Population,212.0,,
2022,90059,Total Population,297.0,,
2018,90059,Total Population,258.0,,
2021,90059,Total Population,348.0,,
2020,90059,Total Population,373.0,,
2019,90059,Total Population,241.0,,
2017,90059,Total Population,243.0,,
2011,90059,Total Population,229.0,,
2014,90060,Total Population,,1.0,Cell suppressed for small numbers
2021,90060,Total Population,,1.0,Cell suppressed for small numbers
2018,90060,Total Population,,1.0,Cell suppressed for small numbers
2013,90060,Total Population,,1.0,Cell suppressed for small numbers
2015,90060,Total Population,,1.0,Cell suppressed for small numbers
2011,90060,Total Population,,1.0,Cell suppressed for small numbers
2016,90060,Total Population,0.0,,
2017,90060,Total Population,,1.0,Cell suppressed for small numbers
2012,90060,Total Population,,1.0,Cell suppressed for small numbers
2020,90060,Total Population,,1.0,Cell suppressed for small numbers
2019,90060,Total Population,,1.0,Cell suppressed for small numbers
2022,90060,Total Population,,1.0,Cell suppressed for small numbers
2012,90061,Total Population,167.0,,
2017,90061,Total Population,191.0,,
2013,90061,Total Population,216.0,,
2014,90061,Total Population,153.0,,
2021,90061,Total Population,277.0,,
2020,90061,Total Population,294.0,,
2019,90061,Total Population,198.0,,
2011,90061,Total Population,202.0,,
2022,90061,Total Population,239.0,,
2016,90061,Total Population,205.0,,
2018,90061,Total Population,207.0,,
2015,90061,Total Population,178.0,,
2022,90062,Total Population,291.0,,
2015,90062,Total Population,224.0,,
2018,90062,Total Population,212.0,,
2013,90062,Total Population,213.0,,
2020,90062,Total Population,301.0,,
2017,90062,Total Population,239.0,,
2012,90062,Total Population,217.0,,
2019,90062,Total Population,215.0,,
2021,90062,Total Population,305.0,,
2011,90062,Total Population,219.0,,
2014,90062,Total Population,213.0,,
2016,90062,Total Population,226.0,,
2019,90063,Total Population,274.0,,
2015,90063,Total Population,260.0,,
2020,90063,Total Population,393.0,,
2022,90063,Total Population,324.0,,
2021,90063,Total Population,432.0,,
2012,90063,Total Population,235.0,,
2017,90063,Total Population,286.0,,
2013,90063,Total Population,307.0,,
2016,90063,Total Population,306.0,,
2018,90063,Total Population,294.0,,
2014,90063,Total Population,280.0,,
2011,90063,Total Population,255.0,,
2022,90064,Total Population,185.0,,
2013,90064,Total Population,190.0,,
2016,90064,Total Population,212.0,,
2015,90064,Total Population,166.0,,
2012,90064,Total Population,180.0,,
2019,90064,Total Population,181.0,,
2017,90064,Total Population,192.0,,
2021,90064,Total Population,192.0,,
2014,90064,Total Population,199.0,,
2018,90064,Total Population,192.0,,
2011,90064,Total Population,187.0,,
2020,90064,Total Population,201.0,,
2015,90065,Total Population,262.0,,
2020,90065,Total Population,354.0,,
2021,90065,Total Population,341.0,,
2018,90065,Total Population,249.0,,
